序号,类型,点位名,上杆设备朝向,天准IP,球机IP,8mm相机编号,25mm相机编号,设备箱编号,8mm盲区（米）,25mm盲区（米）,8mm俯角,25mm俯角,雷达俯角°,8mm离杆距离,25mm离杆距离,雷达离杆距离,雷达北纬,雷达东经,utm_x,utm_y
1,路灯,DRSU1,北,,/,401,614,,20,50,11,6,87,1.05m,1.35m,1.2m,"30°43'31.757""","120°30'18.910""",261120.458464,3401837.92829
2,路灯,DRSU2,北,,/,403,616,,20,50,12,4,87,1.05m,1.35m,1.2m,"30°43'36.436""","120°30'19.795""",261147.212451,3401981.50565
3,路灯,DRSU3,北,,/,402,603,,20,50,11.9,6.4,87,1.05m,1.35m,1.2m,"30°43'41.226""","120°30'20.714""",261174.946598,3402128.48144
4,路灯,DRSU4,北,,/,404,602,,20,50,12.3,4.3,87,1.05m,1.35m,1.2m,"30°43'48.137""","120°30'21.610""",261203.522129,3402340.79242
5,路灯,DRSU5,北,,/,347,626,,20,50,8.7,4.1,87,1.05m,1.35m,1.2m,"30°43'52.596""","120°30'21.930""",261215.092104,3402477.92902
6,路灯,DRSU6,北,,/,351,631,,20,50,12,7.3,87,1.05m,1.35m,1.2m,"30°43'57.152""","120°30'22.272""",261227.313754,3402618.03998
7,路灯,DRSU7,北,,/,349,620,,20,50,12.3,5.8,87,1.05m,1.35m,1.2m,"30°44'01.822""","120°30'22.673""",261241.18305,3402761.62694
8,路灯,DRSU8,北,,/,350,624,,20,50,11.5,7.4,87,1.05m,1.35m,1.2m,"30°44'06.371""","120°30'23.715""",261272.022078,3402901.1079
9,监控,DRSU9,北,192.168.2.16,192.168.2.109,408,609,1021球,20,50,7.9,3.5,87,3.5m,3.8m,3.64m,"30°44'12.088""","120°30'24.968""",261309.274225,3403076.43551
10,监控,DRSU10,北,192.168.2.11,/,409,608,1034,20,50,4.2,4.2,87,3.2m,3.05m,3.2m,"30°44'14.750""","120°30'25.191""",261317.031046,3403158.2865
11,监控,DRSU11,南,192.168.2.9,192.168.2.111,407,607,1033球,20,50,5.4,3.7,87,2.65m,2.8m,2.65m,"30°44'14.757""","120°30'25.158""",261316.15795,3403158.52162
12,监控,DRSU12,东,192.168.2.15,/,405,606,1040,20,50,6.9,2.8,87,2.75m,3.05m,2.91m,"30°44'13.624""","120°30'22.483""",261244.218624,3403125.21184
13,监控,DRSU13,西,192.168.2.14,/,406,601,1038,20,50,6.8,2.6,87,2.85m,3.15m,3m,"30°44'13.560""","120°30'26.813""",261359.365455,3403120.67733
14,路灯,DRSU14,南,,/,339,632,,20,50,10.6,5.9,87,1.05m,1.35m,1.2m,"30°44'09.170""","120°30'23.802""",261276.255022,3402987.25865
15,路灯,DRSU15,南,,/,354,622,,20,50,12.4,4.5,87,1.05m,1.35m,1.2m,"30°44'04.764""","120°30'22.746""",261245.141747,3402852.19002
16,路灯,DRSU16,南,,/,352,619,,20,50,10.8,5,87,1.05m,1.35m,1.2m,"30°44'00.094""","120°30'21.896""",261219.327307,3402708.86892
17,监控,DRSU17,南,192.168.2.10,192.168.2.117,346,621,1019球,20,50,6.3,4.2,87,1.05m,1.35m,1.2m,"30°43'56.466""","120°30'21.636""",261209.923227,3402597.28949
18,路灯,DRSU18,南,,/,337,633,,20,50,12.1,6.6,87,1.05m,1.35m,1.2m,"30°43'50.906""","120°30'21.208""",261194.725108,3402426.30877
19,路灯,DRSU19,南,,/,345,618,,20,50,9.3,6.8,87,1.05m,1.35m,1.2m,"30°43'46.443""","120°30'20.877""",261182.85949,3402289.0555
20,路灯,DRSU20,南,,/,334,612,,20,50,12.3,6.2,87,1.05m,1.35m,1.2m,"30°43'42.908""","120°30'20.427""",261168.463881,3402180.4528
21,路灯,DRSU21,南,,/,344,623,,20,50,10,6.3,87,1.05m,1.35m,1.2m,"30°43'38.375""","120°30'19.560""",261142.289384,3402041.36118
22,路灯,DRSU22,南,,/,343,630,,20,50,13.2,6.1,87,1.05m,1.35m,1.2m,"30°43'34.618""","120°30'18.855""",261120.956589,3401926.07251
23,监控,DRSU23,东,192.168.2.8,192.168.2.123,410,611,1024球,20,50,7.7,2.9,87,4.35m,4.65m,4.5m,"30°43'29.937""","120°30'17.171""",261072.942391,3401782.90689
