序号,类型,点位名,上杆设备朝向,天准IP,球机IP,8mm相机编号,25mm相机编号,设备箱编号,8mm盲区（米）,25mm盲区（米）,8mm俯角,25mm俯角,雷达俯角°,8mm离杆距离,25mm离杆距离,雷达离杆距离,雷达北纬,雷达东经,utm_x,utm_y
1,路灯,DRSU1,南,,/,440,625,,,,11.2,2.7,87.6,,,,,,234753.38,3344731.29
5,路灯,DRSU5,南,,/,341,672,,,,11.2,2.3,87.6,,,,,,235048.92,3344719.56
4,路灯,DRSU4,东,,/,425,,,,,11.2,,87.5,,,,,,235039.99,3344667.58
28,路灯,DRSU28,西,,/,458,604,,,,15,7.3,87.7,,,,,,235039.99,3344667.58
6,路灯,DRSU6,东,,/,394,,,,,11.2,,,,,,,,235219.97,3344665.11
29,路灯,DRSU29,西,,/,442,511,,,,9.9,4.8,87.2,,,,,,235219.97,3344665.11
9,路灯,DRSU9,南,,/,457,668,,,,12.5,3.8,87.0,,,,,,235249.21,3344431.56
8,路灯,DRSU8,北,,/,456,658,,,,12,3.3,87.0,,,,,,235249.21,3344431.56
7,路灯,DRSU7,南,,/,456,658,,,,12,3.3,87.0,,,,,,235257.87,3344712.08
11,路灯,DRSU11,东,,/,323,698,,,,11.3,3.7,87.5,,,,,,235364.6,3344375.95
